original,disfluent,annotation
what do unstable isotope studies indicate,what do petrologists no what do unstable isotope studies indicate,F F E E E E F F F F
what is the basic unit of territorial division in warsaw,what is the second level of territorial division in poland no make that the basic unit of territorial division in warsaw,F F F E E E E E E E E E E E F F F F F F F
which genus lack tentacles and sheaths,juvenile platyctenids no wow which genus lack tentacles and sheaths,E E E E F F F F F F
longlived memory cells can remember previous encounters with what,when a pathogen is met again scratch that i mean longlived memory cells are capable of remembering previous encounters with what,E E E E E E E E E E F F F E E E E E E E E
what led to newcastles rise to power as military advisor,what led to the duke of cumberlands rise to power as military advisor sorry no newcastles,F F F E E E E E E E E E E E E F
how long did julia butterfly hill live near a nuclearmissile installation,did julia butterfly wait how long did julia butterfly hill live near a nuclearmissile installation,E E E E F F F F F F F F F F F
when was warsaw ranked as the 22nd most liveable city in the world,when was frankfurt ranked as the 22nd most liveable city in the world no sorry it was warsaw,F F E E E E E E E E E E E E E E E F
what is the name of the supposition that any number larger than 2 can be represented as the sum of two primes,what is the name of the number theory or rather the supposition that any number larger than 2 can be represented as the sum of two primes,F F F F F F E E E E E F F F F F F F F F F F F F F F F
which group sets the time agenda,who represents instead how about which group sets the time agenda,E E E E E F F F F F F
when three forces act on a point particle what happens,what geometric er when three forces act on a point particle what happens,E E E F F F F F F F F F F
what profession does zbigniew marek have,what profession does irena bajerska no zbigniew marek have,F F F E E E F F F
what type of wages does mechanization and automation lead to,what type of wages does equipment for labor no the mechanization and automation lead to,F F F F F E E E E E F F F F F
what type of entrepreneurship leads to advancements in technology,what type of impact or uh entrepreneurship leads to advancements in technology,F F F E E E F F F F F F
what does the highest level of the vistula plateau contain,why does what does the highest level of the vistula plateau contain,E E F F F F F F F F F F
what percentage of venice residents died of the plague in 1361,what percentage of parisian residents died of the plague in 1361 no venice residents,F F F E E E E E E E E E F F
what is the effect of beta decay,what is the result of no no i mean what is the effect of beta decay,F F F E E E E E E E E E F F F F
what kind of organs do some sponges have,what kind of organs do ctenophores or no make that do some sponges have,F F F F F E E E E E E F F F
 how did the party overthrow the elected government in 1929,how did the party overthrow the elected government in 1985 no i mean 1929,F F F F F F F F F E E E E F
in what year did fresno get its first pedestrian mall,how no sorry in what year did fresno get its first pedestrian mall,E E E F F F F F F F F F F
who were the main detractors of the humoral theory of immunity,what are or actually who were the main detractors of the humoral theory of immunity,E E E E F F F F F F F F F F F
what is one function that prime numbers have that 1 does not,which theorem oh wait what is one function that prime numbers have that 1 does not,E E E E F F F F F F F F F F F F
what is another function that primes have that the number 15 does not,what is a fundamental no is another function that primes have that the number 15 does not,F F E E E E F F F F F F F F F F F
why do oceanic plates and mantle convection currents move in opposite directions,when was um no why do oceanic plates and mantle convection currents move in opposite directions,E E E E F F F F F F F F F F F F
below what levels were the projected sea levels in the 2001 ipcc projection,below what levels were the projected sea levels in the 2007 or no make that the 2001 ipcc projection,F F F F F F F F F F E E E E E E F F F
who disagrees with the timetable of business in the chamber,who sets the work agenda and allocates time in the chamber no not this i want to know who disagrees with the timetable of business in the chamber,F E E E E E E E E E E E E E E E E E E F F F F F F F F F
which building was vacated three times to allow for the meeting of the churchs general assembly,which building was vacated three times to allow for the meeting of the general assembly hall or no rather of the churchs general assembly,F F F F F F F F F F F F F E E E E E E E E F F F
what career does joseph stiglitz have,what skills no what career does joseph stiglitz have,F E E E F F F F F
what is another name for state route 168,what is another name for state route 41 or no 168,F F F F F F F E E E F
what was written by ghandi in 1819,what was written by henry david thoreau or sorry ghandi in 1819  what was referenced err i mean written by ghandi in 1819,F F F F E E E E E F F F
who deployed its army into iraq in 1979,who deployed its army into afghanistan in 1979 no sorry not afghanistan but in iraq,F F F F F E E E E E E E E E F
innate cells can act as mediators in the activation of what branch of the immune system,what cells are the second arm of the innate immune system or rather innate cells can act as mediators in the activation of what branch of the immune system,E E E E E E E E F E E E E E F F F F F F F F F F F F F F F
what publication printed that the wealthiest 1 have more money than those in the bottom 99,what institution no um publication printed that the wealthiest 1 have more money than those in the bottom 99,F E E E F F F F F F F F F F F F F F F
what is the name of the park in atascadero,what is the name of the park in reedley er uh better atascadero,F F F F F F F F E E E E F
when was the masovian duchy reincorporated into the polish crown,when was the settlement which would become warsaw established no not that but when was the masovian duchy reincorporated into the polish crown,F F F E E E E E E E E E E E E E F F F F F F F
in what decade did the u of c affiliate with numerous national colleges,in what decade did the des moines college or no make that the u of c affiliate with numerous national colleges,F F F F F E E E E E E E E F F F F F F F F
what portion of households in jacksonville have only one person,which percentage of households in jacksonville have more than no sorry have only one person,E E E E E E E E E E E E E E E
how much do estimations of the population during the plague vary,how much did the clergy no do estimations of the population during the plague vary,F F E E E E F F F F F F F F F
theres a rough border between switzerland and what other country formed by the rhine,theres a tributary border between switzerland and what other country formed by the rhine no a rough,F F E E E E E E E E E E E E E E F
what is not a form of immunological memory,which is or no make that what is not a form of immunological memory,E E E E E E F F F F F F F F
