Sentence,Word,POS,TAG
0,what,PRON,O
0,do,AUX,O
0,petrologists,NOUN,BR
0,no,INTJ,IR
0,what,PRON,IR
0,do,VERB,IR
0,unstable,ADJ,O
0,isotope,NOUN,O
0,studies,NOUN,O
0,indicate,VERB,O
1,what,PRON,O
1,is,AUX,O
1,the,DET,O
1,second,ADJ,BR
1,level,NOUN,IR
1,of,ADP,IR
1,territorial,ADJ,IR
1,division,NOUN,IR
1,in,ADP,IR
1,poland,PROPN,IR
1,no,DET,IR
1,make,VERB,IR
1,that,SCONJ,IR
1,the,DET,IR
1,basic,ADJ,O
1,unit,NOUN,O
1,of,ADP,O
1,territorial,ADJ,O
1,division,NOUN,O
1,in,ADP,O
1,warsaw,PROPN,O
2,juvenile,PROPN,BR
2,platyctenids,PROPN,IR
2,no,INTJ,IR
2,wow,INTJ,IR
2,which,DET,O
2,genus,NOUN,O
2,lack,VERB,O
2,tentacles,NOUN,O
2,and,CCONJ,O
2,sheaths,NOUN,O
3,when,SCONJ,BR
3,a,DET,IR
3,pathogen,NOUN,IR
3,is,AUX,IR
3,met,VERB,IR
3,again,ADV,IR
3,scratch,NOUN,IR
3,that,PRON,IR
3,i,PRON,IR
3,mean,VERB,IR
3,longlived,ADJ,O
3,memory,NOUN,O
3,cells,NOUN,O
3,are,AUX,BR
3,capable,ADJ,IR
3,of,ADP,IR
3,remembering,VERB,IR
3,previous,ADJ,IR
3,encounters,NOUN,IR
3,with,ADP,IR
3,what,PRON,IR
4,what,PRON,O
4,led,VERB,O
4,to,ADP,O
4,the,DET,BR
4,duke,NOUN,IR
4,of,ADP,IR
4,cumberlands,NOUN,IR
4,rise,VERB,IR
4,to,ADP,IR
4,power,NOUN,IR
4,as,SCONJ,IR
4,military,ADJ,IR
4,advisor,NOUN,IR
4,sorry,ADJ,IR
4,no,DET,IR
4,newcastles,NOUN,O
5,did,AUX,BR
5,julia,PROPN,IR
5,butterfly,PROPN,IR
5,wait,VERB,IR
5,how,SCONJ,O
5,long,ADV,O
5,did,AUX,O
5,julia,PROPN,O
5,butterfly,PROPN,O
5,hill,PROPN,O
5,live,VERB,O
5,near,ADP,O
5,a,DET,O
5,nuclearmissile,ADJ,O
5,installation,NOUN,O
6,when,SCONJ,O
6,was,AUX,O
6,frankfurt,PROPN,BR
6,ranked,VERB,IR
6,as,ADP,IR
6,the,DET,IR
6,22nd,ADJ,IR
6,most,ADV,IR
6,liveable,ADJ,IR
6,city,NOUN,IR
6,in,ADP,IR
6,the,DET,IR
6,world,NOUN,IR
6,no,INTJ,IR
6,sorry,ADJ,IR
6,it,PRON,IR
6,was,AUX,IR
6,warsaw,PROPN,O
7,what,PRON,O
7,is,AUX,O
7,the,DET,O
7,name,NOUN,O
7,of,ADP,O
7,the,DET,O
7,number,NOUN,BR
7,theory,NOUN,IR
7,or,CCONJ,IR
7,rather,ADV,IR
7,the,DET,IR
7,supposition,NOUN,O
7,that,SCONJ,O
7,any,DET,O
7,number,NOUN,O
7,larger,ADJ,O
7,than,ADP,O
7,2,NUM,O
7,can,AUX,O
7,be,AUX,O
7,represented,VERB,O
7,as,ADP,O
7,the,DET,O
7,sum,NOUN,O
7,of,ADP,O
7,two,NUM,O
7,primes,NOUN,O
8,who,PRON,BR
8,represents,VERB,IR
8,instead,ADV,IR
8,how,SCONJ,IR
8,about,ADP,IR
8,which,DET,O
8,group,NOUN,O
8,sets,VERB,O
8,the,DET,O
8,time,NOUN,O
8,agenda,NOUN,O
9,what,PRON,BR
9,geometric,ADJ,IR
9,er,INTJ,IR
9,when,SCONJ,O
9,three,NUM,O
9,forces,NOUN,O
9,act,VERB,O
9,on,ADP,O
9,a,DET,O
9,point,NOUN,O
9,particle,NOUN,O
9,what,PRON,O
9,happens,VERB,O
10,what,DET,O
10,profession,NOUN,O
10,does,AUX,O
10,irena,PROPN,BR
10,bajerska,PROPN,IR
10,no,DET,IR
10,zbigniew,PROPN,O
10,marek,PROPN,O
10,have,VERB,O
11,what,DET,O
11,type,NOUN,O
11,of,ADP,O
11,wages,NOUN,O
11,does,AUX,O
11,equipment,NOUN,BR
11,for,ADP,IR
11,labor,NOUN,IR
11,no,INTJ,IR
11,the,DET,IR
11,mechanization,NOUN,O
11,and,CCONJ,O
11,automation,NOUN,O
11,lead,NOUN,O
11,to,ADP,O
12,what,DET,O
12,type,NOUN,O
12,of,ADP,O
12,impact,NOUN,BR
12,or,CCONJ,IR
12,uh,INTJ,IR
12,entrepreneurship,NOUN,O
12,leads,VERB,O
12,to,ADP,O
12,advancements,NOUN,O
12,in,ADP,O
12,technology,NOUN,O
13,why,SCONJ,BR
13,does,AUX,IR
13,what,PRON,O
13,does,AUX,O
13,the,DET,O
13,highest,ADJ,O
13,level,NOUN,O
13,of,ADP,O
13,the,DET,O
13,vistula,PROPN,O
13,plateau,NOUN,O
13,contain,VERB,O
14,what,DET,O
14,percentage,NOUN,O
14,of,ADP,O
14,parisian,ADJ,BR
14,residents,NOUN,IR
14,died,VERB,IR
14,of,ADP,IR
14,the,DET,IR
14,plague,NOUN,IR
14,in,ADP,IR
14,1361,NUM,IR
14,no,PROPN,IR
14,venice,PROPN,O
14,residents,NOUN,O
15,what,PRON,O
15,is,AUX,O
15,the,DET,O
15,result,NOUN,BR
15,of,ADP,IR
15,no,INTJ,IR
15,no,INTJ,IR
15,i,PRON,IR
15,mean,VERB,IR
15,what,PRON,IR
15,is,AUX,IR
15,the,DET,IR
15,effect,NOUN,O
15,of,ADP,O
15,beta,NOUN,O
15,decay,NOUN,O
16,what,DET,O
16,kind,NOUN,O
16,of,ADP,O
16,organs,NOUN,O
16,do,VERB,O
16,ctenophores,NOUN,BR
16,or,CCONJ,IR
16,no,DET,IR
16,make,NOUN,IR
16,that,PRON,IR
16,do,VERB,IR
16,some,DET,O
16,sponges,NOUN,O
16,have,VERB,O
17,how,SCONJ,O
17,did,AUX,O
17,the,DET,O
17,party,NOUN,O
17,overthrow,VERB,O
17,the,DET,O
17,elected,VERB,O
17,government,NOUN,O
17,in,ADP,O
17,1985,NUM,BR
17,no,INTJ,IR
17,i,PRON,IR
17,mean,VERB,IR
17,1929,NUM,O
18,how,SCONJ,BR
18,no,INTJ,IR
18,sorry,ADJ,IR
18,in,ADP,O
18,what,DET,O
18,year,NOUN,O
18,did,AUX,O
18,fresno,PROPN,O
18,get,VERB,O
18,its,PRON,O
18,first,ADJ,O
18,pedestrian,NOUN,O
18,mall,NOUN,O
19,what,PRON,BR
19,are,AUX,IR
19,or,CCONJ,IR
19,actually,ADV,IR
19,who,PRON,O
19,were,AUX,O
19,the,DET,O
19,main,ADJ,O
19,detractors,NOUN,O
19,of,ADP,O
19,the,DET,O
19,humoral,ADJ,O
19,theory,NOUN,O
19,of,ADP,O
19,immunity,NOUN,O
20,which,DET,BR
20,theorem,NOUN,IR
20,oh,INTJ,IR
20,wait,VERB,IR
20,what,PRON,O
20,is,AUX,O
20,one,NUM,O
20,function,NOUN,O
20,that,SCONJ,O
20,prime,ADJ,O
20,numbers,NOUN,O
20,have,VERB,O
20,that,SCONJ,O
20,1,NUM,O
20,does,VERB,O
20,not,PART,O
21,what,PRON,O
21,is,AUX,O
21,a,DET,BR
21,fundamental,ADJ,IR
21,no,NOUN,IR
21,is,AUX,IR
21,another,DET,O
21,function,NOUN,O
21,that,PRON,O
21,primes,NOUN,O
21,have,VERB,O
21,that,SCONJ,O
21,the,DET,O
21,number,NOUN,O
21,15,NUM,O
21,does,VERB,O
21,not,PART,O
22,when,SCONJ,BR
22,was,AUX,IR
22,um,INTJ,IR
22,no,INTJ,IR
22,why,SCONJ,O
22,do,AUX,O
22,oceanic,ADJ,O
22,plates,NOUN,O
22,and,CCONJ,O
22,mantle,NOUN,O
22,convection,NOUN,O
22,currents,NOUN,O
22,move,VERB,O
22,in,ADP,O
22,opposite,ADJ,O
22,directions,NOUN,O
23,below,ADP,O
23,what,DET,O
23,levels,NOUN,O
23,were,AUX,O
23,the,DET,O
23,projected,VERB,O
23,sea,NOUN,O
23,levels,NOUN,O
23,in,ADP,O
23,the,DET,O
23,2007,NUM,BR
23,or,CCONJ,IR
23,no,DET,IR
23,make,VERB,IR
23,that,SCONJ,IR
23,the,DET,IR
23,2001,NUM,O
23,ipcc,PROPN,O
23,projection,PROPN,O
24,who,PRON,O
24,sets,VERB,BR
24,the,DET,IR
24,work,NOUN,IR
24,agenda,NOUN,IR
24,and,CCONJ,IR
24,allocates,VERB,IR
24,time,NOUN,IR
24,in,ADP,IR
24,the,DET,IR
24,chamber,NOUN,IR
24,no,INTJ,IR
24,not,PART,IR
24,this,PRON,IR
24,i,PRON,IR
24,want,VERB,IR
24,to,PART,IR
24,know,VERB,IR
24,who,PRON,IR
24,disagrees,VERB,O
24,with,ADP,O
24,the,DET,O
24,timetable,NOUN,O
24,of,ADP,O
24,business,NOUN,O
24,in,ADP,O
24,the,DET,O
24,chamber,NOUN,O
25,which,DET,O
25,building,NOUN,O
25,was,AUX,O
25,vacated,VERB,O
25,three,NUM,O
25,times,NOUN,O
25,to,PART,O
25,allow,VERB,O
25,for,ADP,O
25,the,DET,O
25,meeting,NOUN,O
25,of,ADP,O
25,the,DET,O
25,general,ADJ,BR
25,assembly,NOUN,IR
25,hall,NOUN,IR
25,or,CCONJ,IR
25,no,PRON,IR
25,rather,ADV,IR
25,of,ADP,IR
25,the,DET,IR
25,churchs,PROPN,O
25,general,ADJ,O
25,assembly,NOUN,O
26,what,PRON,O
26,skills,VERB,BR
26,no,INTJ,IR
26,what,DET,IR
26,career,NOUN,O
26,does,AUX,O
26,joseph,PROPN,O
26,stiglitz,PROPN,O
26,have,VERB,O
27,what,PRON,O
27,is,AUX,O
27,another,DET,O
27,name,NOUN,O
27,for,ADP,O
27,state,NOUN,O
27,route,NOUN,O
27,41,NUM,BR
27,or,CCONJ,IR
27,no,DET,IR
27,168,NUM,O
29,who,PRON,O
29,deployed,VERB,O
29,its,PRON,O
29,army,NOUN,O
29,into,ADP,O
29,afghanistan,PROPN,BR
29,in,ADP,IR
29,1979,NUM,IR
29,no,ADV,IR
29,sorry,ADJ,IR
29,not,PART,IR
29,afghanistan,PROPN,IR
29,but,CCONJ,IR
29,in,ADP,IR
29,iraq,PROPN,O
30,what,DET,BR
30,cells,NOUN,IR
30,are,AUX,IR
30,the,DET,IR
30,second,ADJ,IR
30,arm,NOUN,IR
30,of,ADP,IR
30,the,DET,IR
30,innate,ADJ,O
30,immune,ADJ,BR
30,system,NOUN,IR
30,or,CCONJ,IR
30,rather,ADV,IR
30,innate,ADJ,IR
30,cells,NOUN,O
30,can,AUX,O
30,act,VERB,O
30,as,ADP,O
30,mediators,NOUN,O
30,in,ADP,O
30,the,DET,O
30,activation,NOUN,O
30,of,ADP,O
30,what,PRON,O
30,branch,NOUN,O
30,of,ADP,O
30,the,DET,O
30,immune,ADJ,O
30,system,NOUN,O
31,what,DET,O
31,institution,NOUN,BR
31,no,INTJ,IR
31,um,INTJ,IR
31,publication,NOUN,O
31,printed,VERB,O
31,that,SCONJ,O
31,the,DET,O
31,wealthiest,ADJ,O
31,1,NUM,O
31,have,VERB,O
31,more,ADJ,O
31,money,NOUN,O
31,than,ADP,O
31,those,PRON,O
31,in,ADP,O
31,the,DET,O
31,bottom,NOUN,O
31,99,NUM,O
32,what,PRON,O
32,is,AUX,O
32,the,DET,O
32,name,NOUN,O
32,of,ADP,O
32,the,DET,O
32,park,NOUN,O
32,in,ADP,O
32,reedley,PROPN,BR
32,er,INTJ,IR
32,uh,INTJ,IR
32,better,ADJ,IR
32,atascadero,NOUN,O
33,when,SCONJ,O
33,was,AUX,O
33,the,DET,O
33,settlement,NOUN,BR
33,which,PRON,IR
33,would,AUX,IR
33,become,VERB,IR
33,warsaw,PROPN,IR
33,established,VERB,IR
33,no,INTJ,IR
33,not,PART,IR
33,that,PRON,IR
33,but,CCONJ,IR
33,when,SCONJ,IR
